Label,Number Of Video JPN,Number Of Video RUS,Number Of Video KOR,Number Of Video MEX,Number Of Video CAN,Number Of Video DEU,Number Of Video FRA,Number Of Video GBR,Number Of Video IND,Number Of Video USA
00:00,366,907,503,229,181,474,317,531,166,219
00:10,129,522,201,153,74,177,203,187,102,83
00:20,97,387,170,104,98,134,178,191,108,63
00:30,196,440,371,159,129,139,151,130,170,94
00:40,157,335,195,128,120,100,124,27,80,70
00:50,107,322,202,84,83,83,130,181,82,53
01:00,154,580,230,180,175,122,187,217,103,222
01:10,120,381,167,131,55,76,107,112,64,69
01:20,123,346,157,99,70,86,123,87,51,53
01:30,97,472,173,94,105,69,94,167,59,86
01:40,114,347,139,87,73,75,78,237,48,41
01:50,96,270,132,80,69,84,97,120,37,67
02:00,154,413,173,154,209,71,113,370,69,417
02:10,71,355,108,56,62,60,76,222,70,35
02:20,66,255,122,41,51,76,104,63,47,26
02:30,92,343,131,91,269,43,41,274,54,287
02:40,48,263,88,60,124,50,65,126,63,59
02:50,55,263,88,51,76,43,59,125,57,77
03:00,69,299,75,85,151,136,123,255,39,214
03:10,65,255,71,40,55,50,70,193,49,57
03:20,56,230,91,41,53,48,56,127,68,58
03:30,60,250,88,59,122,56,53,140,114,84
03:40,43,202,64,52,69,49,49,108,61,53
03:50,42,181,81,53,64,42,57,141,66,34
04:00,146,242,61,101,181,69,68,310,146,297
04:10,46,222,57,48,50,47,44,114,66,24
04:20,35,255,51,44,74,45,36,125,83,89
04:30,40,174,102,70,84,48,42,166,188,78
04:40,35,163,70,38,48,41,33,144,34,49
04:50,29,136,45,50,47,50,64,188,67,56
05:00,89,231,205,124,503,100,71,2185,132,432
05:10,42,145,52,55,94,44,47,237,64,27
05:20,41,130,55,32,67,44,48,178,46,66
05:30,30,127,63,72,153,142,109,197,77,108
05:40,44,82,52,48,85,51,49,95,33,78
05:50,23,80,49,38,96,59,45,56,59,46
06:00,72,114,108,145,374,339,284,209,80,493
06:10,46,92,61,49,104,73,45,77,90,72
06:20,48,77,48,42,125,75,43,88,48,42
06:30,69,70,102,92,254,114,77,69,85,136
06:40,58,81,53,60,110,57,29,154,56,117
06:50,65,54,55,53,120,50,37,79,79,56
07:00,176,87,151,262,694,168,223,220,198,889
07:10,93,53,57,78,137,45,53,38,79,114
07:20,67,54,79,82,163,52,41,108,91,175
07:30,63,60,109,123,273,104,84,80,183,237
07:40,66,31,79,68,140,77,55,38,107,180
07:50,75,48,84,87,142,75,43,50,115,115
08:00,220,63,372,480,966,269,182,493,256,1960
