,Label,Number Of Video JP,Number Of Video RU,Number Of Video KR,Number Of Video MX,Number Of Video CA,Number Of Video DE,Number Of Video FR,Number Of Video GB,Number Of Video IN,Number Of Video US
0,00:00,259,194,809,1496,663,213,353,776,156,769
1,00:30,239,144,412,1170,616,161,227,335,229,687
2,01:00,377,200,624,1539,800,222,260,590,189,672
3,01:30,354,183,491,1248,620,173,192,490,356,613
4,02:00,289,189,567,1511,777,209,223,719,381,647
5,02:30,285,184,557,1375,596,128,121,442,524,397
6,03:00,753,297,1044,1489,660,184,162,527,520,490
7,03:30,249,242,534,1243,602,201,164,432,792,449
8,04:00,213,596,563,1164,743,289,249,1288,488,858
9,04:30,164,304,591,898,650,230,158,386,1382,300
10,05:00,253,580,784,889,723,378,352,1915,872,1141
11,05:30,259,381,664,550,420,232,188,469,1221,276
12,06:00,294,647,886,498,308,308,258,231,898,347
13,06:30,239,467,634,364,316,264,195,321,1335,182
14,07:00,404,982,1225,360,330,450,301,440,1054,419
15,07:30,339,607,810,242,289,421,262,231,1128,233
16,08:00,782,901,1509,237,320,617,476,590,931,476
17,08:30,495,701,1042,184,396,556,499,435,1117,390
18,09:00,1334,1078,2025,202,298,883,804,1216,961,398
19,09:30,623,831,1147,153,216,536,569,200,949,208
20,10:00,1555,1048,1668,194,410,1067,1086,506,849,403
21,10:30,609,869,1137,141,236,716,627,214,1198,169
22,11:00,1293,1584,1534,242,645,1230,1045,540,902,513
23,11:30,490,978,1124,180,350,718,676,250,1374,283
24,12:00,858,1379,1384,277,706,1341,814,781,988,894
25,12:30,478,1074,991,226,595,833,600,447,1634,436
26,13:00,711,1509,1100,499,1114,1764,967,1208,1238,1600
27,13:30,525,1257,796,281,555,860,671,533,1390,548
28,14:00,548,1581,666,700,1359,2012,1177,1923,1322,2008
29,14:30,442,1285,700,344,707,1132,984,501,1514,619
30,15:00,637,2178,882,829,1769,2107,1965,2209,1322,2380
31,15:30,450,1496,736,580,806,1124,1088,679,922,1022
32,16:00,381,1988,599,951,2725,2144,3504,2584,1021,2877
33,16:30,334,1388,469,640,1179,1340,1976,765,1265,799
34,17:00,321,1806,413,1230,2271,2479,3535,2775,959,2648
35,17:30,206,1162,341,891,1029,1261,1763,577,720,1032
36,18:00,189,1283,234,1293,1612,1840,1760,1529,482,1675
37,18:30,159,1165,243,1080,837,1170,1256,840,430,1126
38,19:00,234,1038,199,1347,1665,1488,1350,1112,358,1482
39,19:30,110,861,223,1063,874,975,1250,878,249,667
40,20:00,160,817,302,1431,1643,1098,1134,1013,158,1409
41,20:30,115,682,170,1058,990,840,1086,743,176,828
42,21:00,141,646,218,1526,1406,1261,1096,970,164,1413
43,21:30,175,593,203,1087,894,1189,885,548,145,627
44,22:00,334,511,263,1566,1536,784,817,1059,243,1362
45,22:30,196,338,267,1165,814,468,587,585,278,616
46,23:00,402,286,523,1540,1077,615,623,715,305,973
47,23:30,233,229,264,1278,734,329,389,399,263,588
